id_emp,codigo,protocolo,empreendimento,tipo,situacao,potencia_mw,rio,municipio,lat_barragem,lon_barragem,lat_casa_forca,lon_casa_forca,lat_barragem_original,lon_barragem_original,lat_barragem_conferida,lon_barragem_conferida,coordenada_status,status_barragem,status_casa_forca,fase_verificada,grau_confianca,observacao,data_conferencia,origem_conferencia,prioridade_siga,siga_fase,siga_nome,chave_local
372,00.203-1,138859770,CGH GIRAU,CGH,INDEFERIDO,0.72,DOIS VIZINHOS,DOIS VIZINHOS,-25.748612,-53.040531,-25.744171,-53.037428,-25.748612,-53.040531,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Girau: borda urbana (Dois Vizinhos) com mata/vale, drenagem natural e terraplenagem, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-25.7486,-53.0405"
373,00.204-1,214302047,CGH GIULIA,CGH,DEFERIDO,1,LAJEADO GRANDE,PINHÃO,-25.825458,-51.648621,,,-25.825458,-51.648621,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Giulia: terreno florestado/pasto com vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-25.8255,-51.6486"
374,00.205-1,221662660,CGH GIULIA,CGH,PROTOCOLADO,1,LAJEADO GRANDE,PINHÃO,-25.825458,-51.648621,,,-25.825458,-51.648621,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Giulia: terreno florestado/pasto com vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#373,3,,,"-25.8255,-51.6486"
375,00.206-1,157646303,CGH GUAMIRANGA,CGH,INDEFERIDO,2,DOS PATOS,PRUDENTÓPOLIS,-25.205716,-50.943071,,-50.943071,-25.205716,-50.943071,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Guamiranga (#375): mesmo ponto do #918 Três Pedras — rodovia/complexo industrial; Rio dos Patos meândrico ao sul, sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.2057,-50.9431"
376,00.207-1,182731633,CGH GUAMIRANGA,CGH,DEFERIDO,2,DOS PATOS,PRUDENTÓPOLIS,-25.205716,-50.943071,-25.204648,-50.942205,-25.205716,-50.943071,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Guamiranga (#375): mesmo ponto do #918 Três Pedras — rodovia/complexo industrial; Rio dos Patos meândrico ao sul, sem barragem. Não construída.",2026-06-21,propagado:#375,3,,,"-25.2057,-50.9431"
377,00.208-1,197218410,CGH GUAMIRANGA,CGH,EM ANALISE,2,DOS PATOS,PRUDENTÓPOLIS,-25.205716,-50.943071,-25.204648,-50.942205,-25.205716,-50.943071,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Guamiranga (#375): mesmo ponto do #918 Três Pedras — rodovia/complexo industrial; Rio dos Patos meândrico ao sul, sem barragem. Não construída.",2026-06-21,propagado:#375,3,,,"-25.2057,-50.9431"
378,00.209-1,184859327,CGH GUARANI,CGH,DEFERIDO,3,GUARANI,TRÊS BARRAS DO PARANÁ,-25.367955,-53.093988,-25.378215,-53.094962,-25.367955,-53.093988,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Guarani: rio meândrico natural (grande meandro) em pasto/lavoura, sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.368,-53.094"
379,00.210-1,192818672,CGH GUARANI,CGH,DEFERIDO,3,GUARANI,TRÊS BARRAS DO PARANÁ,-25.367955,-53.093988,-25.378215,-53.094962,-25.367955,-53.093988,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Guarani: rio meândrico natural (grande meandro) em pasto/lavoura, sem barragem. Não construída.",2026-06-21,propagado:#378,3,,,"-25.368,-53.094"
380,00.211-1,210931384,CGH GUARARAPES,CGH,EM ANALISE,3.2,CHOPIM,PALMAS,-26.469628,-51.766339,-26.466014,-51.771066,-26.469628,-51.766339,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Guararapes: vale florestado escuro com córrego natural, sem barragem. Não construída.",2026-06-21,direta,3,,,"-26.4696,-51.7663"
381,00.212-1,186175743,CGH GW, CGH,CANCELADO,0.9,SANTANA,RENASCENÇA,-26.199479,-52.931124,?,?,-26.199479,-52.931124,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH GW: lavoura com mata extensa e vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-26.1995,-52.9311"
382,00.213-1,193188133,CGH GW,CGH,EM ANALISE,0.9,SANTANA,RENASCENÇA,-26.199479,-52.931124,?,?,-26.199479,-52.931124,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH GW: lavoura com mata extensa e vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#381,3,,,"-26.1995,-52.9311"
383,00.214-1,153651680,CGH HENKE,CGH,DEFERIDO,0.925,ARROIO GUAÇU,MARECHAL CANDIDO RONDON,-24.425968,-54.050542,-25.588111,-53.080336,-24.425968,-54.050542,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Henke: rio meândrico natural com estrada/propriedade no cruzamento, em pasto/mata, sem barragem/reservatório/casa de força. Coord cf da base inconsistente (~130km). Não construída.",2026-06-21,direta,3,,,"-24.426,-54.0505"
384,00.215-1,199708198,CGH HENKE,CGH,DEFERIDO,0.925,ARROIO GUAÇU,MARECHAL CANDIDO RONDON,-24.425968,-54.050542,-25.588111,-53.080336,-24.425968,-54.050542,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Henke: rio meândrico natural com estrada/propriedade no cruzamento, em pasto/mata, sem barragem/reservatório/casa de força. Coord cf da base inconsistente (~130km). Não construída.",2026-06-21,propagado:#383,3,,,"-24.426,-54.0505"
385,00.216-1,228945587,CGH HERVEIRA,CGH,DEFERIDO,1.3,TRICOLOR,CAMPINA DA LAGOA,-24.500031,-52.76937,,,-24.500031,-52.76937,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Herveira: rio meândrico natural em vale florestado com pasto, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.5,-52.7694"
386,00.217-1,184654032,CGH HERVEIRA,CGH,DEFERIDO,1.3,TRICOLOR,CAMPINA DA LAGOA,-24.500031,-52.76937,-24.501398,-52.770495,-24.500031,-52.76937,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Herveira: rio meândrico natural em vale florestado com pasto, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#385,3,,,"-24.5,-52.7694"
387,00.218-1,191293436,CGH HUMAITA,CGH,DEFERIDO,1,TAPERA,PINHÃO,-25.638214,-51.707871,-25.632843,-51.707382,-25.638214,-51.707871,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Humaita: terreno florestado com clareiras de pasto e vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-25.6382,-51.7079"
388,00.219-1,228949426,CGH HUMAITA,CGH,PROTOCOLADO,1,TAPERA,PINHÃO,-25.638214,-51.707871,,,-25.638214,-51.707871,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Humaita: terreno florestado com clareiras de pasto e vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#387,3,,,"-25.6382,-51.7079"
389,00.220-1,191164113,CGH IGUAÇU,CGH,PROTOCOLADO,5,IGUAÇU,BALSA NOVA / LAPA,-25.573826,-49.781101,-25.57276,-49.787067,-25.573826,-49.781101,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Iguaçu: rio meândrico natural em vale agrícola, sem barragem/reservatório. Não construída.",2026-06-21,direta,3,,,"-25.5738,-49.7811"
390,00.221-1,142887681,CGH IMBAÚ I,CGH,DEFERIDO,1,IMBAÚ,TIBAGI / IMBAÚ,-24.536985,-50.700127,,-50.700127,-24.536985,-50.700127,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Imbaú I: lavoura/pasto com reflorestamento, pequena propriedade e vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.537,-50.7001"
391,00.222-1,152449801,CGH IMBAÚ I,CGH,DEVOLVIDO - SGA,1,IMBAÚ,TIBAGI / IMBAÚ,-24.536985,-50.700127,,-50.700127,-24.536985,-50.700127,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Imbaú I: lavoura/pasto com reflorestamento, pequena propriedade e vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#390,3,,,"-24.537,-50.7001"
392,00.223-1,247020462,CGH IMBAÚ I,CGH,DEFERIDO,1,IMBAÚ,TIBAGI / IMBAÚ,-24.536985,-50.700127,,-50.700127,-24.536985,-50.700127,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Imbaú I: lavoura/pasto com reflorestamento, pequena propriedade e vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#390,3,,,"-24.537,-50.7001"
393,00.224-1,142932156,CGH IMBAÚ II,CGH,DEFERIDO,2.5,IMBAÚ,TIBAGI / IMBAÚ,-24.528625,-50.693036,,-50.693036,-24.528625,-50.693036,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Imbaú II (#393): mesmo ponto do #229 Coamo — vale florestado escuro com drenagem natural e rodovia, sem barragem. Não construída.",2026-06-21,direta,3,,,"-24.5286,-50.693"
394,00.225-1,152449720,CGH IMBAÚ II,CGH,DEVOLVIDO - SGA,2.5,IMBAÚ,TIBAGI / IMBAÚ,-24.528625,-50.693036,,-50.693036,-24.528625,-50.693036,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Imbaú II (#393): mesmo ponto do #229 Coamo — vale florestado escuro com drenagem natural e rodovia, sem barragem. Não construída.",2026-06-21,propagado:#393,3,,,"-24.5286,-50.693"
395,00.226-1,247020411,CGH IMBAÚ II,CGH,DEFERIDO,2.5,IMBAÚ,TIBAGI,-24.528625,-50.693036,,-50.693036,-24.528625,-50.693036,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Imbaú II (#393): mesmo ponto do #229 Coamo — vale florestado escuro com drenagem natural e rodovia, sem barragem. Não construída.",2026-06-21,propagado:#393,3,,,"-24.5286,-50.693"
396,00.227-1,192654319,CGH ITAPEJARA,CGH,ARQUIVADO,1,VITORINO,ITAPEJARA D'OESTE,-25.997081,-52.785434,-25.98928,-52.79665,-25.989343,-52.796578,-25.997081,-52.785434,Confirmada visual,Validado,Pendente de validação,Em operação,Médio,"CGH Itapejara: barramento no rio no marcador + complexo a NW. Em operação (ANEEL); casa de força ~1,4 km NW (coord -25.989280,-52.796650).",2026-06-21,direta,0,Operação,Vitorino,"-25.9893,-52.7966"
397,00.228-1,149826645,CGH ITARARÉ,CGH,INDEFERIDO,,ITARARÉ,GUARATUBA / TIJUCAS DO SUL,-25.851764,-48.972458,-25.822945,-48.944139,-25.851764,-48.972458,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Itararé: Serra do Mar — densa Mata Atlântica em encosta íngreme (imagem escura), sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-25.8518,-48.9725"
398,00.867-1,245363346,CGH JABORANDI,CGH,PROTOCOLADO,1.5,CORUMBATAÍ,NOVA TEBAS / ARAPUÃ,-24.411372,-51.857011,-24.407822,-51.863611,-24.411372,-51.857011,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaborandi (#398): rio meândrico natural com corredeiras (água esbranquiçada) e mata ciliar, sem barragem/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.4114,-51.857"
399,00.229-1,186469542,CGH JABORANDI,CGH,DEFERIDO,1.5,CORUMBATAÍ,NOVA TEBAS,-24.411264,-51.856888,-24.407822,-51.857011,-24.411264,-51.856888,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaborandi (#399): mesmo trecho do #398 (~10m), rio meândrico natural com corredeiras, sem barragem/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.4113,-51.8569"
400,00.230-1,53306152,CGH JAGUARIAÍVA VELHA,CGH,ARQUIVADO,1.2,CAPIVARI,JAGUARIAÍVA,-24.255147,-49.703051,,-49.703051,-24.255147,-49.703051,,,Original/SIGA (não re-medida),Validado,Validado,Em operação,Médio,"Confirmação DOCUMENTAL (2ª passada): cluster de CGHs em operação no eixo Rio Jaguariaíva/Capivari, Jaguariaíva — operadoras Jaguariaiva Energia SPE / Paraná Geração de Energia (Álamo O&M), energia comercializada no ACL. CGH Jaguariaíva Velha / Usina Velha (Rio Capivari): recapacitada para CGH (~1 MW), em operação no ACL. Pendente→Validado.",2026-06-26,direta,0,Operação,Velha,"-24.2551,-49.7031"
401,00.231-1,130868223,CGH JARACATIÁ,CGH,DEFERIDO,2.7,JARACATIÁ,SALTO DO LONTRA / BOA ESPERANÇA DO IGUAÇU,-25.691171,-53.290217,,-53.289594,-25.691171,-53.290217,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaracatiá: rio meândrico natural (turvo) com pequena edificação rural na margem, sem barragem/reservatório. Não construída.",2026-06-21,direta,3,,,"-25.6912,-53.2902"
402,00.854-1,152382030,CGH JARACATIÁ,CGH,DEFERIDO,2.7,JARACATIÁ,SALTO DO LONTRA / BOA ESPERANÇA DO IGUAÇU,-25.691171,-53.290217,,-53.289594,-25.691171,-53.290217,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaracatiá: rio meândrico natural (turvo) com pequena edificação rural na margem, sem barragem/reservatório. Não construída.",2026-06-21,propagado:#401,3,,,"-25.6912,-53.2902"
403,00.905-1,199633562,CGH JARACATIÁ,CGH,DEFERIDO,2.7,JARACATIÁ,SALTO DO LONTRA / BOA ESPERANÇA DO IGUAÇU,-25.691171,-53.290217,,-53.289594,-25.691171,-53.290217,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaracatiá: rio meândrico natural (turvo) com pequena edificação rural na margem, sem barragem/reservatório. Não construída.",2026-06-21,propagado:#401,3,,,"-25.6912,-53.2902"
404,00.232-1,220761983,CGH JARACATIÁ,CGH,DEFERIDO,2.7,JARACATIÁ,SALTO DO LONTRA / BOA ESPERANÇA DO IGUAÇU,-25.691171,-53.290217,,-53.289594,-25.691171,-53.290217,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaracatiá: rio meândrico natural (turvo) com pequena edificação rural na margem, sem barragem/reservatório. Não construída.",2026-06-21,propagado:#401,3,,,"-25.6912,-53.2902"
405,00.233-1,242573013,CGH JARACATIÁ,CGH,DEFERIDO,2.7,JARACATIÁ,SALTO DO LONTRA / BOA ESPERANÇA DO IGUAÇU,-25.691171,-53.290217,,-53.289594,-25.691171,-53.290217,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaracatiá: rio meândrico natural (turvo) com pequena edificação rural na margem, sem barragem/reservatório. Não construída.",2026-06-21,propagado:#401,3,,,"-25.6912,-53.2902"
406,00.234-1,229916610,CGH JARACATIÁ I,CGH,PROTOCOLADO,0.7,JARACATIÁ,NOVA ESPERANÇA DO SUDOESTE,-25.789142,-53.197524,,,-25.789142,-53.197524,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaracatiá I: lavoura de contorno com vale florestado/drenagem natural e pequena propriedade, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-25.7891,-53.1975"
407,00.235-1,194362188,CGH JARACATIÁ II,CGH,PROTOCOLADO,1.1,JARACATIÁ,SALTO DO LONTRA,-25.733762,-53.252204,-25.722113,-53.253482,-25.733762,-53.252204,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaracatiá II: Rio Jaracatiá meândrico natural (turvo) em pasto/lavoura com pequenas propriedades, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-25.7338,-53.2522"
408,00.877-1,190326888,CGH JARACATIA III,CGH,DEFERIDO,2,JARACATIÁ,SALTO DO LONTRA,-25.716264,-53.260941,-25.704719,-53.258557,-25.716264,-53.260941,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaracatia III (#408): rio meândrico natural em vale agrícola/florestal, sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.7163,-53.2609"
409,00.236-1,224345283,CGH JARACATIÁ III,CGH,PROTOCOLADO,2,JARACATIÁ,SALTO DO LONTRA,-25.705193,-53.265045,,,-25.705193,-53.265045,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jaracatiá III (#409): Rio Jaracatiá meândrico natural (turvo) em pasto/lavoura, sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.7052,-53.265"
410,00.237-1,156225568,CGH JARARACA,CGH,ARQUIVADO,1,JARARACA,BITURUNA,-26.162613,-51.531255,-26.155112,-51.534341,-26.162613,-51.531255,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jararaca: borda urbana com mata/vale e drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-26.1626,-51.5313"
411,00.891-1,51376480,CGH JATAÍ,CGH,ARQUIVADO,3.7,ARROIO GUAÇU,MARECHAL CANDIDO RONDON / NOVA SANTA ROSA,-24.424691,-54.050168,-24.424882,-54.060377,-24.424691,-54.050168,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jataí: rio/córrego meândrico natural em vale florestado (área do #521 Mercedes), sem barragem. Não construída.",2026-06-21,direta,3,,,"-24.4247,-54.0502"
412,00.238-1,132468982,CGH JATAÍ,CGH,DEFERIDO,3.7,ARROIO GUAÇU,MARECHAL CANDIDO RONDON / NOVA SANTA ROSA,-24.424691,-54.050168,-24.424882,-54.060377,-24.424691,-54.050168,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jataí: rio/córrego meândrico natural em vale florestado (área do #521 Mercedes), sem barragem. Não construída.",2026-06-21,propagado:#411,3,,,"-24.4247,-54.0502"
413,00.893-1,182043184,CGH JESUÍTAS,CGH,DEFERIDO,1.2,JESUÍTAS,IRACEMA DO OESTE,-24.434939,-53.316122,-24.526331,-53.441192,-24.434939,-53.316122,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jesuítas: rio meândrico natural com mata ciliar em lavoura de contorno, sem barragem/reservatório/casa de força. Coord cf da base inconsistente (~16km). Não construída.",2026-06-21,direta,3,,,"-24.4349,-53.3161"
414,00.239-1,223301193,CGH JESUÍTAS,CGH,PROTOCOLADO,1.2,JESUÍTAS,IRACEMA DO OESTE,-24.434939,-53.316122,-24.526331,-53.441192,-24.434939,-53.316122,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jesuítas: rio meândrico natural com mata ciliar em lavoura de contorno, sem barragem/reservatório/casa de força. Coord cf da base inconsistente (~16km). Não construída.",2026-06-21,propagado:#413,3,,,"-24.4349,-53.3161"
415,00.240-1,137408643,CGH JESUÍTAS,CGH,ARQUIVADO,1,VERDE,JESUÍTAS,-24.434939,-53.316122,-24.526331,-53.441192,-24.434939,-53.316122,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jesuítas: rio meândrico natural com mata ciliar em lavoura de contorno, sem barragem/reservatório/casa de força. Coord cf da base inconsistente (~16km). Não construída.",2026-06-21,propagado:#413,3,,,"-24.4349,-53.3161"
416,00.241-1,191799089,CGH JK,CGH,PROTOCOLADO,1.7,DAS ANTAS,RIO BOM,-23.872397,-51.461753,-23.871983,-51.46541,-23.872397,-51.461753,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH JK: Rio das Antas meândrico com mata ciliar contínua em ambas as margens e lavouras (Rio Bom), sem barragem/casa de força. Não construída.",2026-06-21,direta,3,,,"-23.8724,-51.4618"
417,00.242-1,138227570,CGH JOLMAR RIQUETTI,CGH,DEFERIDO,2.5,TORMENTA,TRÊS BARRAS DO PARANÁ / BOA VISTA DA APARECIDA,-25.41122,-53.360157,,-53.360157,-25.41122,-53.360157,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jolmar Riquetti: rio meândrico natural em vale de pasto/lavoura, sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.4112,-53.3602"
418,00.243-1,183870530,CGH JOPEVI,CGH,DEFERIDO,2.55,CANTU,PITANGA,-24.761309,-51.951567,-24.762447,-51.961526,-24.761309,-51.951567,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jopevi: terreno agrícola/florestal com drenagem natural, sem barragem. Não construída.",2026-06-21,direta,3,,,"-24.7613,-51.9516"
419,00.244-1,206841788,CGH JOPEVI,CGH,EM ANALISE,2.55,CANTU,PITANGA,-24.761309,-51.951567,-24.762447,-51.961526,-24.761309,-51.951567,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jopevi: terreno agrícola/florestal com drenagem natural, sem barragem. Não construída.",2026-06-21,propagado:#418,3,,,"-24.7613,-51.9516"
420,00.245-1,138025810,CGH JUDAS TADEU,CGH,INDEFERIDO,2.45,COTEGIPE,SANTA IZABEL DO OESTE / SALTO DO LONTRA,-25.857931,-53.356633,,-53.356633,-25.857931,-53.356633,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Judas Tadeu: mesmo ponto do #251 Cotegipe II — terreno agrícola/florestal com aviários, drenagem natural, sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.8579,-53.3566"
421,00.246-1,79745618,CGH JUSSARA,CGH,DEFERIDO,5,LIGEIRO,JUSSARA,-23.632997,-52.49728,-23.613378,-52.480498,-23.632997,-52.49728,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jussara: vale florestado com córrego natural entre lavouras, sem barragem. Não construída.",2026-06-21,direta,3,,,"-23.633,-52.4973"
422,00.247-1,157235133,CGH JUSSARA,CGH,ARQUIVADO,5,LIGEIRO,JUSSARA,-23.632997,-52.49728,-23.613378,-52.480498,-23.632997,-52.49728,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Jussara: vale florestado com córrego natural entre lavouras, sem barragem. Não construída.",2026-06-21,propagado:#421,3,,,"-23.633,-52.4973"
423,00.248-1,233891983,CGH KM 10,CGH,PROTOCOLADO,3,DOS PATOS,IVAÍ,-25.071372,-50.940764,-25.049626,-50.956502,-25.071372,-50.940764,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH KM 10: rio meândrico natural em vale agrícola/florestal, sem barragem. Não construída.",2026-06-21,propagado:#424,3,,,"-25.0714,-50.9408"
424,00.249-1,133090002,CGH KM 10,CGH,ARQUIVADO,4,DOS PATOS,PRUDENTÓPOLIS/ GUAMIRANGA/ IVAÍ,-25.071372,-50.940764,-25.049626,-50.956502,-25.071372,-50.940764,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH KM 10: rio meândrico natural em vale agrícola/florestal, sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.0714,-50.9408"
425,00.250-1,135538566,CGH KM 14,CGH,ARQUIVADO,4.47,DOS PATOS,PRUDENTÓPOLIS / GUAMIRANGA,-25.105555,-50.928333,-25.074213,-50.937079,-25.105555,-50.928333,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"PCH KM 14 (= #1268, mesma área): rio natural com tanques (aquicultura) a S, sem barragem. PCH não construída; casa de força -25.074213,-50.937079.",2026-06-21,propagado:#1269,3,,,"-25.1056,-50.9283"
426,00.251-1,158178621,CGH KOESTER,MGH,INDEFERIDO,0.5,SARANDI,REALEZA,-25.636821,-53.515444,-25.635812,-53.513891,-25.636821,-53.515444,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Koester: pequeno povoado rural/lavoura com drenagem no marcador, sem barragem. Não construída; casa de força -25.635812,-53.513891.",2026-06-21,direta,3,,,"-25.6368,-53.5154"
427,00.887-1,150826047,CGH KUARAYTU,CGH,DEFERIDO,4.1,IGUAÇU,LAPA / PORTO AMAZONAS ,-25.549778,-49.884131,,-49.885246,-25.549778,-49.884131,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Kuaraytu: Rio Iguaçu meândrico natural (bancos de areia, fluxo livre) junto a Porto Amazonas, sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.5498,-49.8841"
428,00.252-1,161836281,CGH KUARAYTU,CGH,PROTOCOLADO,4.1,IGUAÇU,LAPA / PORTO AMAZONAS ,-25.549778,-49.884131,,-49.885246,-25.549778,-49.884131,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Kuaraytu: Rio Iguaçu meândrico natural (bancos de areia, fluxo livre) junto a Porto Amazonas, sem barragem. Não construída.",2026-06-21,propagado:#427,3,,,"-25.5498,-49.8841"
429,00.862-1,182569585,CGH LAGOA CRISTAL,CGH,DEFERIDO,2.9,TOURINHO,BRAGANEY / CAMPO BONITO,-24.735836,-52.982002,-24.72053,-52.982466,-24.735836,-52.982002,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Lagoa Cristal: vale florestado/agrícola com drenagem natural (sem lagoa/reservatório visível), sem barragem. Não construída.",2026-06-21,direta,3,,,"-24.7358,-52.982"
430,00.253-1,210851089,CGH LAGOA CRISTAL,CGH,PROTOCOLADO,2.5,TOURINHO,BRAGANEY / CAMPO BONITO,-24.735836,-52.982002,-24.72053,-52.982466,-24.735836,-52.982002,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Lagoa Cristal: vale florestado/agrícola com drenagem natural (sem lagoa/reservatório visível), sem barragem. Não construída.",2026-06-21,propagado:#429,3,,,"-24.7358,-52.982"
431,00.906-1,182359580,CGH LAGOA DOURADA,CGH,DEFERIDO,1.6,TOURINHO,BRAGANEY / CAMPO BONITO,-24.894652,-53.07436,-24.894026,-53.063618,-24.894652,-53.07436,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Lagoa Dourada: lavoura (Rio Tourinho) com vales florestados/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.8947,-53.0744"
432,00.254-1,200042166,CGH LAGOA DOURADA,CGH,PROTOCOLADO,1.6,TOURINHO,BRAGANEY / CAMPO BONITO,-24.894652,-53.07436,-24.894026,-53.063618,-24.894652,-53.07436,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Lagoa Dourada: lavoura (Rio Tourinho) com vales florestados/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#431,3,,,"-24.8947,-53.0744"
433,00.255-1,140706191,CGH LAJEADO,CGH,DEFERIDO,3,FORTALEZA,TIBAGI,-24.440833,-50.305277,-24.443226,-50.303404,-24.440833,-50.305277,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Lajeado: vale florestado escuro/reflorestamento com drenagem natural, sem barragem. Não construída.",2026-06-21,direta,3,,,"-24.4408,-50.3053"
